id,ip,status,cam1,cam2,cam3,cam4,hdd,latency,cdate,login_status,last_communication,atmid,capacity,freespace,recording_from,recording_to,dvrtype
632,10.185.181.180,1,working,working,working,NULL,ok,764ms,30-07-2019 16:11,0,30-07-2019 16:11,P3ENGZ11,1907729,0,2019-04-20T13:17:06Z,,Hikvision
633,10.236.212.134,1,working,working,working,NULL,ok,486ms,30-07-2019 16:11,0,30-07-2019 16:11,P1DCDL38,1907729,0,2019-05-30T10:44:43Z,,Hikvision
636,10.60.240.22,1,NULL,NULL,NULL,NULL,NULL,NULL,30-07-2019 16:11,1,0000-00-00 00:00:00,P3ENMR01,,,,,Hikvision
637,10.60.240.47,1,NULL,NULL,NULL,NULL,NULL,NULL,30-07-2019 16:12,1,0000-00-00 00:00:00,P3ENFB01,,,,,Hikvision
638,10.60.240.60,1,working,working,working,NULL,ok,420ms,30-07-2019 16:12,0,30-07-2019 16:12,P1DCMU27,1907729,0,2019-06-03T21:54:38Z,,Hikvision
639,10.60.240.55,1,working,working,working,NULL,ok,498ms,30-07-2019 16:13,0,30-07-2019 16:13,P1DCMU25,1907729,0,2019-07-01T01:43:56Z,,Hikvision
642,10.60.240.46,1,working,working,not working,NULL,ok,620ms,30-07-2019 16:14,0,30-07-2019 16:14,P3ENTD01,1907729,0,2019-05-22T13:23:53Z,,Hikvision
643,10.60.240.13,1,working,working,working,NULL,ok,664ms,30-07-2019 16:14,0,30-07-2019 16:14,MC002946,1907729,0,,,Hikvision
644,10.60.240.117,0,NULL,NULL,NULL,NULL,NULL,,30-07-2019 16:15,0,0000-00-00 00:00:00,MC002703,,,,,Hikvision
645,10.60.240.187,1,working,working,working,NULL,ok,320ms,30-07-2019 16:15,0,30-07-2019 16:15,P1DCAV09,1907729,0,2019-06-26T13:56:15Z,,Hikvision
677,10.185.180.182,1,working,working,working,NULL,ok,455ms,30-07-2019 13:33,0,30-07-2019 13:33,P3ECKT02,953869,0,2019-07-08T12:59:44Z,,Hikvision
678,10.60.243.88,1,working,working,working,NULL,ok,512ms,30-07-2019 13:33,0,30-07-2019 13:33,P3ECBE20,1907729,0,2019-06-29T13:56:35Z,,Hikvision
679,10.60.241.65,1,working,working,working,NULL,ok,460ms,30-07-2019 13:33,0,30-07-2019 13:33,P3ENPJ01,1907729,1371136,2019-07-10T18:22:25Z,,Hikvision
680,10.60.241.236,1,working,working,working,NULL,ok,461ms,30-07-2019 13:34,0,30-07-2019 13:34,P3DCDW03,1907729,0,2019-04-26T05:55:29Z,,Hikvision
681,10.60.240.202,1,working,working,working,NULL,unformatted,400ms,30-07-2019 13:34,0,30-07-2019 13:34,P3ENMH01,1907729,0,,,Hikvision
682,10.185.181.74,1,working,working,working,NULL,ok,807ms,30-07-2019 13:36,0,30-07-2019 13:36,MC000447,1907729,0,2019-07-18T22:30:52Z,,Hikvision
683,10.185.182.19,1,working,working,working,NULL,notexist,500ms,30-07-2019 13:36,0,30-07-2019 13:36,P1DCBU21,0,0,,,Hikvision
684,10.185.180.106,0,NULL,NULL,NULL,NULL,NULL,,30-07-2019 13:37,0,0000-00-00 00:00:00,P3ENPK02,,,,,Hikvision
685,10.185.180.97,1,working,working,working,NULL,ok,583ms,30-07-2019 13:37,0,30-07-2019 13:37,P3ENPJ04,1907729,0,2019-05-14T12:44:52Z,,Hikvision
686,10.60.242.251,0,NULL,NULL,NULL,NULL,NULL,,30-07-2019 13:37,0,0000-00-00 00:00:00,P3ENLD04,,,,,Hikvision
687,10.185.180.94,1,working,working,working,NULL,ok,632ms,30-07-2019 13:38,0,30-07-2019 13:38,P3ENLD02,1907729,0,,,Hikvision
